iterations,calls,time_avg_ms,resid_avg,resid_max,error_avg,error_max,accept_percent
25,33174194,0.000779693,0.059262,796.435,0.0592619,796.435,99.9385
50,33174764,0.000806126,0.0571278,314.761,0.0571278,314.761,99.9626
100,33173662,0.000831934,0.0558238,243.913,0.0558238,243.913,99.9803
250,33173698,0.000862392,0.0549515,243.916,0.0549516,243.916,99.9936
500,33173701,0.000878364,0.054778,243.909,0.0547781,243.909,99.9978
1000,33173748,0.000887103,0.0547314,243.909,0.0547315,243.909,99.9993
